x,y,z_i,q_i,on_hull
21.6816,20.7213,5,1,0
3.71803,18.9454,7,-1,0
6.75925,33.4602,6,0,0
37.0017,14.9398,6,-2,1
8.72791,18.7481,6,0,0
18.5148,28.9285,6,0,0
19.4941,6.20055,6,0,0
6.02893,32.1327,6,0,0
9.1814,33.9429,6,0,0
20.6327,7.70575,6,0,0
33.2814,32.8625,6,0,0
8.42211,10.5298,6,0,0
29.44,22.1782,6,0,0
28.0188,6.76314,4,2,0
26.4349,12.4731,5,1,0
1.82874,27.336,6,0,0
8.09125,32.4397,7,-1,0
7.10741,9.44432,5,-1,1
29.0939,24.0375,6,0,0
10.9356,10.8714,6,0,0
19.9201,41.2822,5,1,0
19.7132,36.2876,6,0,0
6.45177,12.9097,6,0,0
25.6494,8.94249,6,0,0
6.33961,35.3006,5,1,0
31.0265,30.1853,5,1,0
22.6544,4.37716,5,-1,1
27.9999,15.2704,6,0,0
29.1592,7.33617,5,1,0
7.59397,11.8341,6,0,0
12.3379,23.8819,6,0,0
9.87194,9.72613,6,0,0
20.8849,12.1253,6,0,0
8.19866,36.7353,4,2,0
19.3841,30.053,6,0,0
23.7992,13.5222,6,0,0
27.5438,11.4488,7,-1,0
20.127,16.4832,6,0,0
8.20261,20.3778,6,0,0
9.14149,21.9004,7,-1,0
5.86501,17.2934,6,0,0
17.0834,21.3966,5,1,0
29.3733,34.7304,7,-1,0
24.7175,26.2388,7,-1,0
34.7052,27.1456,6,0,0
24.7741,21.1563,6,0,0
7.14722,18.6328,6,0,0
14.9676,39.2569,7,-1,0
18.4755,33.331,6,0,0
21.6719,10.8238,6,0,0
18.9648,23.0243,6,0,0
6.20707,23.4614,7,-1,0
25.0126,38.9033,6,0,0
36.6737,23.772,6,0,0
25.0379,32.5003,7,-1,0
22.6299,6.54787,6,0,0
13.9293,33.3665,6,0,0
27.1522,30.1391,5,1,0
14.0982,31.5593,6,0,0
28.706,29.2685,6,0,0
36.6559,22.1774,7,-1,0
26.4056,14.9992,6,0,0
11.0404,14.431,6,0,0
37.5783,28.3495,7,-3,1
6.71477,10.7315,4,2,0
21.2072,35.0631,6,0,0
8.83938,37.7079,6,-2,1
6.87104,36.457,6,-2,1
9.76876,20.0487,6,0,0
26.9584,36.6342,6,0,0
33.4527,23.2033,6,0,0
19.1071,4.76229,5,1,0
21.2373,17.9114,6,0,0
14.03,40.2548,4,2,0
26.5499,38.2727,7,-1,0
17.7968,15.2554,6,0,0
20.258,13.6381,6,0,0
34.1488,17.2943,5,1,0
32.9992,18.2256,7,-1,0
10.4209,22.8486,6,0,0
25.6819,40.1035,4,2,0
33.647,19.7695,6,0,0
16.4597,36.6005,6,0,0
7.57707,17.147,6,0,0
29.6733,17.1085,6,0,0
29.0592,39.0105,4,2,0
33.4678,30.0085,5,1,0
22.6644,36.4255,6,0,0
3.92947,31.4058,3,3,0
15.4087,8.22143,6,0,0
6.13555,29.66,6,0,0
2.78707,15.2587,6,-2,1
24.5837,15.0571,6,0,0
22.4583,28.5775,7,-1,0
22.593,30.4366,6,0,0
9.88563,38.3313,4,2,0
15.828,20.295,6,0,0
26.8569,39.9846,4,2,0
13.2786,14.9546,5,1,0
